sentence,word,answer,GPT-3.5,GPT-4,Ernie-3.5,Ernie-4.0
The drywer is drunk,drywer,driver,Y,Y,Y,N
Next Monday is a national howllydey,howllydey,holiday,Y,Y,Y,Y
The san is so shiny today,san,sun,Y,Y,N,Y
I want a marshrum burger,marshrum,mushroom,N,Y,Y,N
Intruders have destroyed the housepitle,housepitle,hospital,N,Y,N,Y
Cat is one kind of maimol,maimol,mammal,N,Y,Y,Y
This topic is trending on sowshow media,sowshow,social,Y,Y,N,Y
Refugees seek shallter at school,shallter,shelter,Y,Y,Y,Y
There's no sign of brickthrow for ceasefire talk,brickthrow,breakthrough,Y,N,N,Y
He filled in a sirway about the protest,sirway,survey,Y,Y,Y,Y
The tryel is expected to last for 6 month,tryel,trial,Y,Y,Y,Y
He worries about possible whalelense in the street,whalelense,violence,N,Y,N,N
Two passengers are injured in the bus crash aksident,aksident,accident,Y,Y,Y,Y
An eight year old girl is the sole serwaiwor,serwaiwor,survivor,N,Y,N,Y
South Africa is one of the most diwylloped country in Africa,diwylloped,developed,N,Y,Y,Y
The driver lost kentroll of the car,kentroll,control,Y,Y,Y,Y
The boat caught fire after inpackt on a rock,inpackt,impact,Y,Y,Y,Y
She has furtell imagination,furtell,fertile,Y,Y,N,Y
Flood has caused synnyfikent damage to this area,synnyfikent,significant,Y,Y,Y,Y
Xia is the first dinicety of China,dinicety,dynasty,N,Y,Y,Y
News media usually describe him as a diktiter,diktiter,dictator,Y,Y,Y,Y
Such naïve perspective shall only exist in kids' kognashion,kognashion,cognition,Y,Y,Y,Y
Central control cisterm is down for 2 hours,cisterm,system,Y,Y,Y,Y
China become a superpower in only a few deckiz,daikiz,decades,Y,Y,Y,Y
They suspect he has done something creamanol,creamanol,criminal,N,Y,N,Y
Drug trifaking is banned here,trifaking,trafficking,N,Y,Y,Y
You can get a callpen for purchasing this item,callpen,coupon,N,N,N,Y
My dad bout a land 20 years ago,bout,bought,Y,Y,Y,Y
He tried to save every pani in his life,pani,penny,Y,Y,N,Y
They've been here the last wiik,wiik,week,Y,Y,Y,Y
I need to attend a bezniss meeting in Guangzhou,bezniss,business,Y,Y,Y,Y
The campaign lasted for one manse,manse,month,Y,Y,Y,Y
Another foto of him is revealed later,foto,photo,Y,Y,Y,Y
I've made a serious missdack,missdack,mistake,Y,Y,Y,Y
He think of seavirel methods,seavirel,several,Y,Y,N,Y
People wonder what is the last city he will kenkour,kenkour,conquer,N,N,N,Y
She once had a happy trip to Yijept,Yijept,Egypt,N,Y,N,Y
She spend a whole weekend on reading metireal,metireal,material,Y,Y,Y,Y
The company received a lot of rizeme this weak,rizeme,resume,N,Y,N,N
There are a lot of blike people living in this city,blike,black,N,N,N,N
She wood rather find a new assistant,wood,would,Y,Y,Y,Y
That assistant is experienced in working for selebraty,selebraty,celebrity,Y,Y,Y,Y
She doesn't want to mention any exbeerinse about that day,ixbeerinse,experience,Y,Y,Y,N
She discovered that her idol is nothing like what she sout,sout,thought,N,N,Y,N
The new philm is boring for most audience,philm,film,Y,Y,Y,Y
It seems as zow most people just ignore this problem,zow,though,N,N,N,N
She was accused for asalting her own employee,asalting,assaulting,Y,Y,Y,Y
The tension in the team is not a seacreate anymore,seacreate,secret,Y,Y,N,N
The existance of the sron is a mystery for centuries,sron,throne,N,N,N,N
Not ivorywon can accomplish such a goal,ivorywon,everyone,N,Y,Y,Y
"The sun sets over the calm, blew ocean",blew,blue,Y,Y,Y,Y
A lone wolf houwles beneath the full moon,houwles,howls,Y,Y,Y,Y
The closet is not a plays for lost toys,plays,place,Y,Y,Y,Y
